type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data,timestamp
CSI_DATA,0,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,1,-90,0,11,2,-1118488823,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,2,-8,1,-8,1,-8,0,-8,-1,-9,-1,-9,-1,-9,-1,-10,-2,-10,-3,-11,-3,-10,-3,-10,-3,-10,-3,-11,-3,-10,-3,-10,-4,-11,-3,-10,-4,-10,-3,-10,-3,-10,-3,-10,-3,-10,-3,-10,-3,-10,-3,-9,0,0,-2,-9,-2,-9,-2,-9,-2,-8,-1,-8,-1,-8,-1,-7,-1,-7,-2,-7,-2,-6,-2,-6,-2,-5,-2,-5,-3,-5,-4,-5,-3,-6,-3,-6,-3,-6,-4,-7,-3,-7,-3,-8,-2,-9,-2,-9,-1,-9,0,-10,1,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-36,25,-27,19,-50,11,-48,11,-39,4,-47,4,-46,1,-46,1,-42,3,-49,-10,-50,-16,-55,-8,-52,-14,-47,-21,-51,-17,-54,-16,-47,-15,-53,-16,-54,-17,-53,-24,-57,-23,-46,-18,-51,-21,-54,-27,-56,-17,-50,-10,-57,-27,-52,-17,-56,-24,-48,-19,-47,-15,-56,-10,-40,-13,-48,-9,-38,-10,-50,-14,-37,-11,-38,-8,-33,0,-31,-8,-27,-10,-30,-11,-26,-13,-26,-17,-21,-8,-23,-21,-31,-15,-33,-17,-30,-22,-44,-21,-40,-19,-47,-10,-47,-16,-44,0,-58,-3,-52,9,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,5,22,0,20,-2,29,-1,23,1,23,-3,23,-5,32,-3,29,-7,34,-4,35,-6,36,-2,42,-9,36,-5,50,0,45,-7,53,-9,57,-9,67,-16,71,-12,67,-14,66,-18,67,-24,68,-25,72,-22,66,-30,63,-22,66,-24,62,-25,73,-22,60,-24,67,-17,66,-10,62,-4,61,-8,58,-3,62,-1,62,10,60,6,64,9,67,7,67,7,61,7,71,18,66,17,65,16,57,25,60,22,60,19,54,29,50,36,45,40,47,24,50,30,53,38,37,45,46,0,0]",21:43:01.657
CSI_DATA,1,1a:00:00:00:00:00,-42,11,1,0,1,1,1,0,0,0,1,-90,0,11,2,-1118389373,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,4,6,4,6,3,7,3,7,3,8,3,9,4,9,4,9,5,9,4,9,4,9,4,10,4,9,5,11,5,9,5,10,5,10,5,10,6,10,6,10,6,10,6,10,5,9,6,9,6,0,0,10,6,9,5,8,5,9,5,8,4,8,5,8,4,9,3,8,3,8,3,8,2,8,1,8,1,8,1,9,0,9,-1,10,0,9,-1,10,-1,11,-2,11,-1,12,0,12,0,12,1,13,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,30,25,28,29,34,21,31,19,36,14,41,11,44,15,38,19,42,11,45,14,52,15,54,16,53,20,49,21,57,20,58,20,60,23,58,22,60,16,61,20,62,21,66,20,64,21,55,23,63,25,66,23,57,26,62,26,56,24,61,24,63,19,57,21,58,23,54,20,58,17,53,18,48,17,57,13,51,8,53,6,47,8,51,-1,48,4,47,-8,50,-4,53,-6,50,-13,54,-14,51,-16,57,-22,59,-19,65,-17,68,-18,69,-14,72,-4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-26,1,-30,-3,-35,-4,-30,3,-31,4,-30,-2,-30,2,-34,-2,-33,3,-36,-2,-38,-4,-36,-4,-37,-5,-44,-7,-49,-12,-47,-13,-47,-16,-55,-17,-55,-15,-56,-10,-53,-14,-60,-13,-59,-14,-62,-10,-62,-10,-63,-15,-60,-16,-54,-14,-55,-18,-48,-12,-52,-15,-45,-20,-47,-22,-45,-23,-37,-23,-39,-28,-36,-26,-27,-34,-30,-32,-27,-36,-30,-38,-24,-35,-21,-36,-20,-35,-15,-32,-5,-38,-11,-39,-4,-34,-6,-33,-7,-35,-1,-31,6,-31,7,-29,12,-35,12,-33,15,-29,15,0,0]",21:43:01.752
CSI_DATA,2,1a:00:00:00:00:00,-39,11,1,0,1,1,1,0,0,0,1,-90,0,11,2,-1118289275,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-4,2,-4,2,-3,3,-4,3,-4,4,-4,4,-4,5,-5,5,-5,6,-5,6,-5,7,-6,7,-6,7,-6,7,-6,8,-6,7,-6,8,-6,8,-6,9,-6,9,-6,9,-6,9,-5,9,-5,10,-5,10,-5,10,0,0,-5,10,-4,10,-4,10,-3,10,-3,10,-3,10,-2,10,-2,10,-1,10,0,10,0,10,1,11,1,11,2,11,2,11,3,12,2,12,3,14,2,14,2,14,2,15,1,15,0,16,-1,16,-2,16,-4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-6,2,-6,9,-6,3,-7,6,-9,1,-8,1,-10,4,-13,2,-20,6,-16,3,-21,2,-22,2,-21,3,-18,3,-23,1,-23,0,-26,0,-26,-3,-31,1,-26,3,-29,-1,-26,-3,-34,1,-27,-5,-27,-1,-30,-7,-31,-5,-32,-11,-34,-4,-31,-11,-29,-8,-30,-5,-30,-11,-33,-9,-27,-13,-29,-15,-29,-19,-27,-15,-26,-20,-25,-20,-22,-18,-28,-21,-21,-15,-20,-26,-25,-26,-22,-29,-27,-31,-21,-31,-30,-32,-28,-37,-23,-33,-29,-26,-35,-29,-33,-28,-37,-27,-39,-18,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,14,2,13,-1,14,2,11,1,13,-2,16,0,16,-1,15,4,18,1,20,-3,23,-3,20,1,19,1,24,-6,23,-3,27,-2,19,-4,28,-1,24,-1,24,-3,23,-3,23,-7,23,-5,21,-10,21,-6,20,-6,21,-6,16,-6,21,-9,18,-7,22,-4,15,0,15,-4,16,-5,17,-5,14,1,13,-3,15,-3,13,1,17,-2,14,-4,18,1,13,-2,18,0,19,-2,14,-3,9,-3,11,3,5,-1,2,0,10,2,11,1,12,-2,11,1,10,1,5,0,0]",21:43:01.852
CSI_DATA,3,1a:00:00:00:00:00,-41,11,1,0,1,1,1,0,0,0,1,-90,0,11,2,-1118187394,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,11,-3,10,-4,10,-5,9,-5,10,-6,9,-6,10,-7,10,-8,10,-8,11,-8,11,-8,12,-8,11,-8,11,-8,11,-9,11,-10,10,-9,10,-9,10,-8,10,-9,9,-9,9,-10,10,-8,9,-8,10,-8,8,-7,0,0,8,-7,8,-7,7,-6,7,-7,6,-6,6,-6,5,-6,5,-6,5,-6,5,-6,5,-6,5,-7,5,-6,5,-6,5,-7,5,-6,6,-5,6,-4,6,-4,6,-3,7,-2,7,-2,6,0,6,1,5,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-31,50,-25,51,-33,46,-38,38,-35,48,-47,37,-45,39,-50,32,-51,41,-58,31,-63,31,-62,30,-63,29,-60,35,-68,40,-72,34,-69,35,-66,33,-70,29,-66,30,-73,28,-59,34,-74,24,-70,24,-62,24,-65,27,-65,31,-65,26,-58,26,-60,23,-56,25,-55,18,-50,26,-49,19,-46,16,-49,14,-41,8,-43,10,-40,14,-39,9,-41,7,-40,6,-44,9,-39,10,-44,6,-37,14,-42,17,-35,21,-43,23,-34,21,-33,29,-29,31,-22,27,-17,36,-11,35,-2,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-2,-10,-5,-8,-5,-12,0,-7,-2,-8,-1,-7,-3,-6,1,-5,0,-4,3,-4,6,-3,6,-2,11,-2,13,-5,12,2,17,1,24,-5,23,-5,34,-5,28,-5,34,-5,35,-5,40,-12,42,-13,43,-17,50,-15,51,-21,55,-16,47,-24,57,-19,48,-26,59,-22,53,-20,53,-21,56,-22,52,-14,58,-16,60,-14,53,-13,59,-15,58,-8,59,-8,70,-11,55,-9,67,-7,67,-4,57,3,65,-1,60,13,57,7,58,11,58,14,63,21,55,16,58,22,63,24,55,0,0]",21:43:01.954
CSI_DATA,4,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,1,-90,0,11,2,-1118081221,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,3,-8,2,-8,1,-8,1,-9,1,-9,0,-10,0,-10,-1,-11,-1,-11,-2,-11,-2,-11,-2,-11,-2,-12,-2,-12,-2,-12,-1,-11,-1,-12,-1,-11,-1,-11,-1,-11,0,-11,0,-10,0,-10,0,-10,0,-9,1,-9,0,0,1,-9,1,-8,1,-8,1,-8,1,-8,1,-8,1,-8,1,-7,1,-7,1,-7,0,-7,-1,-7,-1,-7,-1,-8,-1,-7,-2,-8,-3,-8,-3,-9,-3,-10,-3,-10,-3,-11,-2,-12,-2,-12,-1,-13,0,-13,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,42,-36,38,-26,37,-19,39,-15,42,-16,34,-3,47,-3,44,-1,51,0,46,-1,52,7,52,4,55,3,59,10,56,8,57,15,64,12,65,12,59,1,60,-2,61,10,61,10,56,-2,54,3,53,-2,53,3,49,2,47,-1,42,-3,48,-5,43,-10,41,-15,46,-11,38,-4,45,-2,40,-10,45,-7,34,-8,31,-9,42,-6,34,-2,34,0,32,2,33,2,32,13,42,5,40,19,40,16,43,10,45,13,58,12,59,12,58,17,63,9,58,0,60,-5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,22,25,20,25,12,23,15,20,17,24,21,24,20,22,25,17,28,21,26,21,35,17,36,17,43,22,40,18,45,20,50,21,56,13,62,14,53,16,60,11,65,17,69,19,65,14,64,15,70,9,76,10,66,10,67,11,65,3,66,-1,59,-3,58,-13,60,-6,59,-10,55,-17,51,-20,51,-26,50,-30,40,-33,38,-35,34,-35,30,-30,30,-40,27,-37,8,-41,18,-42,14,-42,11,-50,-1,-50,-7,-50,-4,-51,-13,-42,-23,-51,-27,-61,-16,-54,-24,-41,0,0]",21:43:02.060
CSI_DATA,5,1a:00:00:00:00:00,-41,11,1,0,1,1,1,0,0,0,1,-90,0,11,2,-1117985033,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-3,10,-2,10,-2,11,-2,11,-1,11,-1,11,0,11,0,12,0,11,0,12,0,11,1,11,0,11,0,11,0,11,0,10,0,10,1,10,0,10,0,10,0,9,0,9,1,9,0,9,1,9,0,8,0,0,0,8,0,8,0,7,0,7,1,7,0,7,1,7,1,7,1,6,1,6,2,7,2,7,2,6,2,7,2,7,3,7,3,8,3,8,3,8,3,9,3,10,2,10,2,11,1,11,0,12,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-54,0,-53,-3,-56,-13,-49,-8,-47,-5,-65,-10,-54,-20,-64,-29,-62,-27,-74,-32,-56,-35,-56,-21,-47,-24,-52,-39,-54,-32,-62,-34,-47,-30,-59,-36,-58,-23,-47,-29,-47,-21,-42,-35,-58,-31,-55,-24,-48,-26,-41,-24,-45,-33,-43,-33,-41,-24,-38,-19,-35,-27,-38,-26,-45,-23,-39,-21,-38,-18,-35,-18,-31,-21,-31,-24,-31,-21,-29,-23,-33,-21,-32,-25,-29,-25,-29,-33,-26,-28,-29,-36,-29,-36,-28,-45,-46,-30,-42,-45,-37,-37,-50,-35,-41,-34,-47,-38,-47,-28,-61,-25,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,3,-26,4,-14,-1,-23,-3,-9,-5,-15,-4,-22,2,-22,9,-14,6,-17,15,-27,13,-23,7,-13,13,-24,22,-28,23,-27,23,-24,36,-30,32,-37,34,-35,42,-29,48,-37,46,-32,46,-40,53,-43,52,-40,62,-28,53,-36,53,-40,45,-41,46,-35,52,-27,63,-31,60,-28,51,-14,58,-22,57,-11,51,-10,48,-13,51,-8,53,-1,50,3,51,12,54,14,49,12,46,11,46,16,44,14,32,29,34,32,31,41,27,44,33,45,26,44,24,38,15,52,13,52,18,0,0]",21:43:02.157
CSI_DATA,6,1a:00:00:00:00:00,-41,11,1,0,1,1,1,0,0,0,1,-90,0,11,2,-1117888353,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-12,-5,-12,-4,-12,-4,-12,-4,-12,-3,-13,-3,-12,-3,-13,-2,-13,-3,-13,-2,-13,-2,-13,-2,-13,-2,-13,-2,-13,-2,-12,-2,-12,-3,-11,-2,-11,-2,-11,-2,-11,-2,-11,-2,-10,-2,-10,-2,-10,-2,-10,-2,0,0,-9,-2,-9,-3,-8,-3,-7,-3,-7,-2,-7,-2,-6,-2,-6,-1,-6,-1,-5,0,-5,0,-6,0,-6,1,-6,1,-6,2,-7,2,-6,2,-7,3,-7,3,-8,3,-9,3,-10,2,-10,2,-11,1,-11,0,-12,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,31,50,33,50,21,67,23,65,35,56,25,58,22,45,28,64,22,64,14,57,28,71,21,63,19,63,25,60,22,68,11,57,16,59,23,57,26,65,21,61,13,62,13,49,14,52,15,55,20,65,21,55,14,44,13,52,21,49,17,46,18,38,20,29,22,34,22,40,23,30,16,36,14,28,11,21,2,27,3,28,1,26,3,30,-2,24,6,32,-1,31,-10,27,-12,43,-8,37,-13,40,-10,47,-11,44,-7,51,-15,48,-5,42,3,61,2,54,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-35,3,-41,7,-39,14,-35,-5,-42,13,-29,7,-37,8,-41,14,-51,6,-49,2,-36,7,-45,-1,-57,6,-48,-2,-43,-1,-52,-7,-39,-8,-52,-7,-55,-15,-54,-12,-50,-11,-64,-16,-62,-8,-66,-7,-60,-13,-62,-10,-60,-23,-61,-9,-58,-17,-52,-17,-46,-26,-39,-14,-35,-32,-49,-23,-35,-29,-33,-28,-27,-34,-24,-42,-25,-34,-12,-38,-13,-42,-10,-34,1,-47,-1,-41,2,-45,4,-48,21,-35,15,-48,23,-62,12,-44,20,-49,37,-44,19,-53,35,-42,41,-37,36,-39,44,0,0]",21:43:02.254
CSI_DATA,7,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-90,0,11,2,-1117787864,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-4,-11,-5,-10,-5,-11,-5,-10,-6,-11,-6,-10,-7,-11,-7,-11,-8,-11,-7,-12,-7,-12,-7,-12,-8,-12,-8,-11,-8,-11,-8,-11,-8,-10,-9,-11,-9,-10,-9,-10,-9,-10,-10,-10,-10,-10,-9,-10,-9,-10,-9,-10,0,0,-9,-10,-9,-9,-8,-8,-9,-9,-8,-8,-8,-7,-8,-7,-8,-7,-8,-6,-8,-6,-8,-6,-8,-5,-8,-5,-8,-5,-10,-5,-9,-5,-10,-5,-10,-5,-10,-5,-10,-6,-10,-7,-10,-8,-9,-9,-8,-10,-7,-10,-5,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,49,40,39,52,33,53,24,50,23,53,21,61,20,65,30,59,12,66,14,63,16,66,22,71,11,80,24,72,15,77,14,67,11,66,10,61,13,67,3,73,5,69,4,70,-1,60,-9,75,7,72,-17,73,-4,69,7,70,7,64,10,65,-7,68,2,59,-13,61,4,52,4,51,2,49,-2,52,-4,55,-8,46,-14,48,-11,53,-15,42,-17,44,-9,46,-9,39,-27,45,-24,42,-22,53,-27,43,-23,53,-28,53,-13,54,-16,64,-5,67,4,67,10,55,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-2,1,-6,0,-14,-13,-16,-1,-10,-3,-10,9,-13,-2,-8,-2,-20,2,-19,3,-27,4,-21,2,-33,-1,-28,7,-30,-3,-29,-7,-30,-5,-53,-14,-41,-9,-50,-12,-43,0,-49,-9,-42,-15,-40,-16,-38,-8,-42,-13,-29,-20,-41,-21,-33,-16,-37,-10,-37,-9,-33,-8,-38,-9,-33,-3,-31,1,-27,8,-36,9,-31,8,-38,15,-37,6,-34,19,-39,16,-27,17,-32,17,-36,41,-40,31,-43,36,-38,24,-46,33,-40,20,-38,31,-39,40,-25,45,-43,34,-45,41,-40,47,0,0]",21:43:02.354
CSI_DATA,8,1a:00:00:00:00:00,-39,11,1,0,1,1,1,0,0,0,1,-90,0,11,2,-1117685436,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,10,-2,11,-2,11,-3,12,-3,11,-3,12,-4,12,-4,13,-5,13,-4,13,-5,13,-5,13,-5,13,-5,13,-5,14,-5,13,-5,14,-5,13,-5,13,-6,13,-6,13,-6,13,-5,13,-6,13,-6,13,-6,13,-6,0,0,13,-5,12,-4,12,-3,11,-3,11,-3,10,-3,9,-3,9,-3,8,-3,7,-4,7,-4,7,-4,7,-5,7,-5,7,-5,7,-5,7,-6,7,-6,8,-6,8,-6,9,-6,10,-5,10,-5,10,-4,11,-3,11,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,-13,-70,-25,-50,11,-61,-6,-70,7,-64,0,-67,4,-68,10,-75,16,-65,10,-77,17,-75,16,-73,15,-77,18,-75,17,-76,17,-79,26,-76,20,-69,24,-78,15,-75,20,-71,14,-65,23,-68,14,-73,22,-75,18,-76,27,-81,35,-74,25,-78,25,-85,26,-75,20,-71,17,-67,10,-67,19,-57,22,-48,15,-62,4,-48,8,-51,14,-44,13,-49,15,-42,25,-37,28,-39,19,-51,30,-35,19,-51,23,-44,21,-45,22,-45,28,-54,23,-58,27,-57,17,-63,24,-65,7,-57,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-9,4,-16,-3,-11,-5,-9,-5,-12,-6,-18,1,-4,-5,-10,-8,-12,-7,-9,3,-18,-1,-16,-3,-11,-4,-21,-6,-25,-2,-14,8,-18,0,-26,-2,-14,10,-19,13,-23,5,-24,16,-27,6,-18,11,-22,15,-20,16,-14,19,-9,9,-19,15,-1,7,-25,13,-12,3,-15,4,-25,5,-20,12,-27,15,-34,5,-21,6,-31,12,-32,9,-33,11,-40,11,-40,11,-41,12,-38,7,-52,10,-47,10,-48,16,-50,19,-48,5,-51,5,-57,10,-55,16,-49,20,-53,10,-55,4,-71,0,0]",21:43:02.457
CSI_DATA,9,1a:00:00:00:00:00,-41,11,1,0,1,1,1,0,0,0,1,-90,0,11,2,-1117589188,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-8,3,-8,4,-7,3,-8,4,-7,4,-8,4,-7,4,-8,4,-8,4,-7,4,-8,4,-8,4,-8,4,-8,4,-9,4,-8,3,-9,4,-8,4,-9,4,-9,4,-9,5,-10,4,-10,5,-10,5,-10,5,-11,5,0,0,-12,5,-11,4,-12,4,-11,4,-11,4,-11,4,-10,3,-9,4,-9,3,-8,4,-8,4,-7,5,-7,5,-7,6,-6,6,-6,7,-6,7,-6,8,-6,8,-6,9,-7,10,-8,9,-7,10,-9,10,-9,9,-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-22,36,-26,45,-18,43,-35,36,-27,38,-21,34,-24,29,-30,39,-28,36,-33,32,-30,34,-32,36,-27,25,-29,34,-29,33,-31,41,-40,34,-31,40,-30,40,-36,45,-31,38,-26,38,-41,34,-38,41,-41,41,-38,38,-40,43,-42,43,-37,49,-40,49,-40,53,-47,45,-47,48,-27,52,-35,50,-31,54,-28,54,-31,41,-31,41,-34,45,-29,42,-32,30,-32,35,-46,27,-39,29,-46,23,-44,26,-53,23,-57,30,-53,15,-58,16,-59,34,-70,28,-54,40,-61,44,-63,41,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34,0,-33,-1,-35,-4,-31,-4,-36,-1,-38,10,-34,8,-26,4,-37,8,-42,6,-42,8,-46,12,-47,12,-49,12,-63,15,-58,11,-61,5,-64,12,-55,8,-59,8,-63,5,-73,1,-56,0,-58,0,-47,3,-48,18,-52,6,-40,17,-45,14,-36,12,-40,18,-37,16,-26,23,-35,28,-21,28,-21,37,-13,29,-15,32,-9,39,-13,29,-7,47,-6,36,0,48,0,42,2,46,5,53,17,50,14,56,22,48,22,44,13,53,28,53,29,52,19,49,20,50,23,59,26,39,0,0]",21:43:02.553
