type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data,timestamp
CSI_DATA,0,1a:00:00:00:00:00,-36,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,360899589,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,6,-4,5,-4,5,-4,4,-4,4,-5,3,-4,3,-5,3,-5,3,-5,3,-6,2,-6,3,-7,3,-7,3,-7,3,-7,3,-7,3,-7,3,-7,3,-7,3,-7,3,-7,3,-7,2,-6,2,-7,2,-7,2,-6,0,0,1,-7,2,-7,1,-7,1,-7,1,-7,1,-7,1,-8,1,-8,2,-8,2,-8,2,-8,3,-8,3,-7,4,-7,4,-7,4,-6,4,-6,3,-5,3,-5,3,-4,3,-4,3,-4,3,-4,3,-4,3,-4,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,23,-41,27,-33,23,-30,27,-34,25,-34,26,-27,27,-17,20,-15,30,-17,34,-10,32,-8,23,-12,31,-7,35,-3,40,2,35,-5,36,-12,49,-12,38,-9,46,-8,37,-7,38,-2,39,-8,44,-8,32,-17,34,-11,34,-4,31,-18,32,-4,28,-2,30,-5,31,-1,34,-6,36,-3,32,-6,28,1,37,-3,33,0,46,-5,37,-5,36,-9,42,-7,38,-8,38,-17,43,-17,39,-6,28,-17,33,-11,30,-15,30,-17,26,-21,29,-17,30,-24,27,-13,22,-17,25,-18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,8,-24,3,-37,6,-25,-9,-35,-2,-40,0,-36,1,-56,0,-46,-3,-44,-7,-44,-3,-51,-8,-55,-10,-53,-20,-54,-10,-58,-13,-47,-19,-59,-27,-51,-18,-71,-28,-48,-24,-55,-38,-56,-41,-45,-37,-54,-43,-52,-46,-48,-42,-54,-48,-52,-47,-45,-39,-59,-43,-48,-33,-49,-44,-57,-45,-52,-45,-54,-43,-47,-43,-50,-43,-55,-41,-53,-47,-48,-49,-55,-52,-53,-47,-57,-59,-44,-46,-48,-46,-53,-58,-45,-46,-54,-52,-47,-52,-47,-52,-56,-47,-57,-44,-43,-44,-37,-45,-32,-48,-38,-49,0,0]",17:20:44.704
CSI_DATA,1,1a:00:00:00:00:00,-36,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,360999474,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-5,-8,-5,-8,-5,-7,-5,-7,-5,-7,-5,-6,-5,-5,-5,-5,-5,-5,-6,-5,-6,-5,-6,-4,-6,-4,-6,-4,-6,-4,-7,-4,-6,-4,-7,-4,-6,-3,-6,-4,-6,-3,-6,-3,-6,-3,-6,-3,-6,-3,-5,-3,0,0,-6,-2,-6,-2,-6,-2,-6,-1,-6,-1,-7,-1,-7,-1,-7,-2,-7,-2,-8,-2,-8,-3,-7,-2,-7,-3,-7,-4,-7,-4,-6,-4,-6,-5,-5,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,11,45,4,65,7,41,6,41,2,40,5,40,5,43,-3,34,3,34,-6,37,0,38,-5,26,-9,22,-10,32,-11,27,-14,36,-18,29,-17,37,-18,21,-16,31,-18,30,-17,32,-19,22,-19,29,-8,26,-20,26,-20,34,-19,20,-17,21,-18,18,-10,23,-22,18,-20,21,-23,15,-11,15,-31,11,-24,21,-24,21,-29,19,-26,27,-29,37,-25,29,-20,28,-22,32,-29,24,-16,40,-13,23,-10,34,-14,32,-7,26,-13,32,-13,22,-9,19,-13,24,-2,21,1,29,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,19,34,28,20,21,34,3,32,36,28,12,38,19,29,8,40,36,24,16,34,26,40,16,25,28,44,28,7,17,64,14,44,6,33,24,64,9,43,7,60,5,52,10,70,22,69,6,61,12,55,14,61,15,62,5,61,0,76,6,59,1,70,4,66,10,60,-2,63,1,62,0,61,9,64,8,67,5,60,6,61,5,57,12,75,11,61,14,73,7,78,9,72,3,67,-2,67,-1,67,2,76,4,66,-2,69,0,60,-6,73,2,72,-5,62,0,0]",17:20:44.785
CSI_DATA,2,1a:00:00:00:00:00,-37,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,361100783,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-10,-3,-9,-3,-9,-3,-8,-2,-8,-2,-8,-2,-8,-2,-8,-1,-8,-1,-8,-1,-8,-1,-8,0,-8,0,-8,0,-7,1,-7,1,-8,1,-7,1,-7,1,-7,1,-7,1,-7,1,-7,1,-7,1,-6,1,-6,1,0,0,-6,2,-6,2,-6,2,-6,2,-6,2,-6,3,-6,3,-6,3,-7,3,-7,3,-7,2,-8,2,-8,2,-8,1,-8,1,-8,1,-8,0,-7,0,-7,-1,-6,-1,-6,-1,-6,-1,-6,-1,-5,-2,-5,-2,-5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,-1,-55,-2,-64,-2,-53,3,-47,0,-48,3,-45,4,-47,4,-45,3,-48,5,-40,9,-43,9,-41,12,-38,12,-40,15,-39,14,-35,19,-32,13,-31,17,-33,13,-38,19,-31,18,-37,22,-32,19,-33,20,-29,20,-28,17,-30,21,-26,17,-30,18,-24,21,-24,21,-23,21,-24,28,-23,25,-24,27,-23,23,-24,29,-28,28,-25,29,-26,35,-27,31,-32,29,-32,24,-35,27,-37,21,-38,21,-36,15,-38,12,-29,12,-28,12,-31,8,-29,6,-29,5,-29,4,-25,2,-25,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-25,-27,-23,-15,-30,-13,-39,-8,-30,-17,-36,-27,-38,-36,-33,-14,-42,-16,-38,3,-33,-16,-41,-14,-38,0,-18,-17,-58,-13,-41,-1,-39,4,-44,-4,-60,-22,-63,-18,-62,-5,-62,-6,-66,-5,-61,-7,-64,-5,-69,1,-58,-1,-65,-3,-60,-1,-65,-1,-60,6,-67,-2,-63,-5,-63,-5,-65,-4,-61,-3,-60,-7,-63,-4,-63,-7,-59,-6,-65,-6,-66,-9,-74,-9,-64,-6,-68,-9,-67,-11,-64,-12,-76,-8,-67,-13,-72,-10,-72,-6,-66,-6,-73,-5,-68,-3,-79,-1,-79,2,-68,0,0]",17:20:44.917
CSI_DATA,3,1a:00:00:00:00:00,-37,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,361201028,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-6,7,-6,7,-5,6,-5,6,-5,6,-4,6,-4,5,-4,6,-4,5,-3,5,-3,6,-2,6,-3,6,-2,6,-2,6,-2,6,-2,6,-1,5,-2,6,-2,6,-2,5,-2,6,-1,5,-2,6,-1,6,-1,5,0,0,-1,5,-1,5,-1,5,0,4,-1,5,-1,5,-1,5,-1,5,-1,5,0,5,-1,6,-1,6,-1,6,-2,6,-2,5,-2,6,-2,5,-3,5,-3,5,-3,4,-3,4,-4,4,-3,3,-4,3,-4,3,-4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,20,-59,21,-59,21,-50,16,-54,22,-55,25,-53,14,-46,12,-50,13,-38,21,-35,11,-34,16,-42,17,-30,18,-26,23,-29,22,-28,17,-28,27,-32,25,-29,28,-28,26,-23,24,-23,17,-21,26,-30,20,-26,23,-26,23,-23,23,-19,20,-23,16,-22,28,-26,25,-18,28,-17,24,-17,23,-14,24,-14,21,-16,29,-17,27,-16,26,-14,33,-17,28,-19,28,-22,32,-23,26,-26,22,-25,25,-27,25,-23,17,-24,14,-26,15,-30,17,-22,11,-23,13,-19,7,-26,6,-22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34,-2,-39,5,-34,-1,-38,-1,-45,-5,-45,-2,-38,-8,-45,-19,-47,-14,-44,-15,-47,-15,-43,-19,-52,-22,-57,-30,-53,-23,-51,-30,-53,-34,-56,-36,-56,-34,-50,-53,-54,-50,-54,-51,-47,-43,-48,-49,-44,-53,-52,-56,-50,-63,-36,-62,-39,-59,-40,-58,-40,-51,-36,-58,-33,-59,-28,-65,-34,-59,-36,-59,-42,-56,-35,-55,-39,-54,-37,-56,-37,-56,-42,-58,-40,-60,-50,-57,-35,-54,-44,-63,-41,-61,-40,-63,-39,-60,-32,-60,-38,-63,-43,-71,-42,-67,-35,-65,-30,-61,-38,-63,-29,-66,0,0]",17:20:45.032
CSI_DATA,4,1a:00:00:00:00:00,-38,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,361303568,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-8,2,-8,2,-8,2,-7,2,-7,2,-6,2,-5,2,-5,3,-5,3,-5,3,-5,3,-5,3,-5,3,-5,4,-5,3,-5,4,-4,3,-4,4,-4,4,-5,3,-4,3,-4,3,-4,3,-4,3,-4,3,-3,3,0,0,-3,3,-3,3,-2,3,-2,3,-2,3,-2,4,-2,4,-2,4,-2,5,-2,5,-3,4,-3,4,-4,4,-4,4,-4,4,-4,4,-4,4,-4,3,-4,3,-4,2,-4,2,-4,2,-5,2,-5,1,-5,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,-58,16,-50,16,-54,19,-41,18,-35,11,-35,21,-43,17,-24,12,-33,8,-34,18,-29,5,-39,7,-34,4,-33,-3,-31,-6,-27,8,-31,-11,-26,-9,-26,-8,-28,-9,-39,-7,-36,-11,-29,-5,-32,-7,-32,-7,-39,-9,-28,-6,-26,-5,-23,-4,-22,-8,-20,-9,-20,-6,-28,-13,-24,-13,-29,-14,-22,-8,-17,-16,-18,-25,-30,-21,-21,-10,-27,-8,-29,-4,-34,-5,-24,-14,-23,-11,-28,-5,-34,-7,-31,1,-27,-4,-25,-4,-30,-5,-38,2,-29,4,-18,2,-26,9,-21,7,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-34,5,-36,12,-27,7,-42,10,-47,24,-43,14,-52,23,-41,16,-48,25,-40,37,-44,32,-51,28,-47,32,-45,36,-49,46,-45,52,-57,51,-38,59,-47,59,-43,64,-45,67,-38,68,-36,76,-33,62,-24,70,-24,64,-27,79,-25,72,-29,76,-26,70,-20,85,-16,75,-24,75,-15,75,-19,75,-8,70,-17,73,-18,70,-8,68,-3,74,-16,72,-12,87,-10,69,-11,73,-7,75,-7,74,-8,78,-3,77,-9,81,-9,76,5,75,4,80,7,74,13,75,8,84,9,63,8,0,0]",17:20:45.112
CSI_DATA,5,1a:00:00:00:00:00,-37,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,361399514,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-7,-7,-7,-7,-6,-7,-6,-7,-5,-5,-5,-5,-5,-5,-5,-4,-5,-4,-5,-3,-5,-3,-4,-3,-5,-2,-4,-2,-6,-2,-5,-1,-5,-1,-5,-1,-5,-1,-5,-1,-5,-1,-4,-1,-5,0,-4,-1,-5,0,0,0,-4,0,-4,1,-4,1,-5,1,-4,1,-5,2,-5,2,-5,2,-6,2,-6,2,-6,1,-6,1,-6,1,-6,0,-6,0,-6,0,-6,0,-6,0,-5,0,-5,-1,-5,-1,-5,-1,-5,-1,-5,-1,-5,-2,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-9,74,-8,52,3,54,-2,56,2,43,-1,52,0,40,-1,39,3,35,2,33,-3,28,-5,32,-10,21,0,30,-11,23,-7,28,-7,20,-3,18,-11,24,-16,23,-15,21,-13,24,-11,19,-12,23,-5,16,-20,20,-11,15,-15,15,-17,9,-22,12,-19,9,-18,7,-19,6,-23,2,-21,6,-30,7,-19,7,-25,6,-32,7,-34,16,-27,14,-26,18,-31,19,-31,21,-27,20,-24,22,-19,26,-26,14,-15,13,-21,7,-25,20,-14,19,-12,15,-13,24,-15,17,-16,26,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,15,35,13,43,6,35,18,35,22,35,23,39,16,40,27,37,26,36,39,37,38,40,36,37,36,44,39,38,43,49,42,47,55,43,51,41,51,44,55,38,63,35,64,28,64,26,66,22,64,23,62,27,69,20,67,23,63,25,58,24,69,27,61,21,55,19,58,22,67,21,56,24,61,23,58,17,60,20,62,17,58,35,69,29,67,24,64,30,69,30,61,27,64,39,68,29,68,24,72,21,70,12,68,20,72,10,77,20,73,17,68,26,76,0,0]",17:20:45.306
CSI_DATA,6,1a:00:00:00:00:00,-39,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,361499489,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,5,-8,4,-8,4,-7,4,-7,3,-6,3,-6,2,-7,1,-6,1,-6,0,-6,0,-6,0,-5,-1,-5,-1,-5,-1,-5,-2,-5,-2,-5,-2,-4,-2,-4,-2,-4,-2,-5,-3,-4,-3,-4,-4,-3,-4,-3,-4,-3,0,0,-5,-3,-5,-3,-5,-3,-6,-2,-6,-3,-6,-3,-7,-3,-8,-3,-8,-4,-8,-4,-8,-4,-8,-5,-7,-5,-7,-5,-7,-5,-7,-6,-6,-6,-7,-6,-6,-6,-6,-6,-5,-6,-5,-7,-5,-6,-4,-7,-4,-7,-4,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-49,45,-41,45,-49,37,-42,37,-35,35,-37,31,-34,36,-34,20,-31,25,-35,31,-27,23,-30,14,-30,11,-27,10,-26,0,-26,3,-28,-4,-26,2,-28,-2,-23,-3,-27,-7,-26,-8,-26,-9,-24,-9,-24,-8,-26,-10,-21,-19,-23,-12,-17,-17,-23,-21,-17,-24,-15,-20,-20,-22,-21,-29,-19,-31,-20,-31,-20,-34,-18,-34,-24,-32,-23,-33,-28,-38,-24,-40,-28,-35,-31,-35,-36,-30,-36,-28,-36,-27,-36,-29,-39,-26,-39,-22,-42,-23,-34,-16,-42,-12,-38,-18,-40,-17,-36,-12,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,33,22,27,16,33,24,32,22,34,23,32,26,34,28,34,30,32,22,42,29,41,31,45,32,39,33,40,36,44,41,45,43,45,38,50,48,50,54,49,50,38,56,42,56,45,53,40,53,48,60,44,59,43,64,37,59,38,64,40,59,39,61,34,60,35,63,32,59,39,61,36,51,40,52,38,51,44,48,46,46,42,46,47,45,43,39,50,43,48,44,52,44,50,42,55,47,55,41,54,42,58,40,56,46,58,44,56,45,61,52,53,44,0,0]",17:20:45.336
CSI_DATA,7,1a:00:00:00:00:00,-38,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,361599457,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,3,9,3,7,3,7,2,7,2,7,1,7,1,7,1,7,0,7,1,6,0,6,0,6,0,6,-1,6,-1,5,-1,6,-2,6,-2,6,-2,6,-2,6,-2,5,-2,5,-2,5,-3,5,-3,0,0,4,-3,4,-4,4,-4,4,-4,4,-4,4,-5,4,-5,4,-5,5,-5,6,-6,6,-5,6,-5,6,-5,7,-4,6,-5,6,-5,7,-4,6,-3,6,-3,7,-2,6,-2,6,-2,6,-1,6,-1,6,-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,10,65,10,66,15,59,7,54,5,58,6,47,8,50,0,48,5,42,-1,41,-8,44,-4,40,-7,39,-5,42,-5,39,-8,36,-11,33,-6,36,-9,34,-11,33,-19,30,-14,29,-19,27,-21,30,-17,28,-20,29,-20,30,-17,26,-18,25,-20,20,-17,20,-20,21,-24,21,-25,19,-28,20,-25,19,-29,17,-32,20,-36,18,-38,21,-33,24,-31,29,-33,31,-29,29,-29,28,-27,33,-31,38,-24,37,-23,29,-22,31,-23,30,-15,32,-20,34,-11,34,-12,29,-8,30,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,17,28,14,25,17,27,9,28,13,29,13,29,13,33,13,29,14,36,15,44,12,39,17,38,12,43,16,51,18,45,17,53,10,53,12,56,13,53,7,60,6,60,2,66,3,60,-4,64,1,64,3,60,0,66,2,62,0,64,0,66,2,65,-3,64,1,61,4,64,2,66,4,67,0,68,4,67,-3,66,3,69,6,67,-1,74,1,70,5,74,4,68,11,71,9,80,5,78,4,76,6,79,6,85,-3,74,-3,78,-7,86,-3,81,-4,73,0,0]",17:20:45.414
CSI_DATA,8,1a:00:00:00:00:00,-38,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,361699488,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-1,-10,-1,-9,-2,-9,-2,-9,-2,-9,-3,-8,-3,-8,-3,-8,-4,-7,-4,-7,-4,-7,-5,-8,-4,-7,-5,-7,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-5,-5,-5,-5,-5,-5,-4,-6,-5,-6,-4,-6,-4,0,0,-7,-4,-7,-3,-7,-3,-8,-3,-8,-3,-8,-3,-9,-4,-8,-4,-9,-4,-10,-4,-9,-5,-9,-5,-9,-6,-9,-6,-8,-7,-8,-7,-7,-7,-7,-6,-7,-7,-6,-7,-6,-7,-6,-7,-6,-7,-5,-7,-5,-7,-4,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-53,-6,-47,-7,-54,-7,-52,-15,-49,-8,-46,-7,-39,-13,-42,-15,-35,-22,-42,-17,-39,-19,-37,-17,-30,-23,-33,-22,-30,-25,-31,-27,-31,-23,-29,-26,-25,-27,-26,-30,-28,-27,-24,-31,-25,-26,-22,-27,-17,-30,-21,-24,-12,-29,-12,-29,-12,-38,-12,-34,-12,-39,-8,-39,-9,-40,-10,-41,0,-44,-1,-41,-6,-47,-8,-49,-7,-48,-5,-46,-7,-52,-12,-48,-14,-50,-20,-51,-16,-42,-19,-49,-20,-41,-29,-40,-26,-38,-23,-39,-23,-40,-23,-36,-28,-35,-23,-35,-31,-31,-31,-32,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,-13,27,-16,21,-10,28,-12,27,-12,29,-15,30,-9,32,-13,35,-12,30,-13,41,-12,41,-13,40,-14,47,-10,45,-17,51,-6,56,-10,54,-11,60,-10,61,-8,60,-3,65,0,67,-6,66,6,63,-2,67,-2,68,4,67,5,62,8,66,8,65,7,67,6,64,13,68,4,61,6,61,5,61,3,67,4,62,-3,66,-1,63,-2,67,-2,71,-5,66,-7,69,-4,70,-5,73,-7,68,-10,70,-7,61,-7,69,-2,66,-2,65,-4,65,-5,66,0,66,-11,62,4,0,0]",17:20:45.542
CSI_DATA,9,1a:00:00:00:00:00,-36,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,361799670,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-7,-5,-7,-5,-6,-4,-6,-4,-6,-3,-6,-3,-6,-3,-6,-2,-6,-2,-6,-1,-6,-1,-7,-1,-7,0,-6,0,-7,0,-7,0,-7,0,-6,0,-6,1,-6,0,-6,1,-6,1,-6,1,-6,1,-6,1,-6,2,0,0,-6,2,-6,2,-6,3,-5,3,-6,4,-6,4,-6,3,-7,4,-7,3,-7,4,-8,3,-8,3,-8,3,-8,2,-8,2,-8,1,-8,1,-8,1,-7,0,-7,0,-7,0,-7,-1,-7,0,-7,-1,-6,-1,-6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,42,43,36,42,29,36,29,42,26,28,25,32,20,40,14,32,12,35,10,30,16,37,7,31,6,29,3,26,-4,34,1,30,1,28,-7,34,-4,37,-9,41,-4,26,-4,30,-12,30,-2,32,-9,30,-10,27,-18,27,-8,26,-13,22,-17,23,-14,32,-20,26,-18,30,-22,18,-23,24,-18,28,-23,25,-34,38,-28,31,-39,38,-27,36,-28,42,-27,37,-18,36,-22,39,-15,36,-11,42,-16,40,-12,31,-10,29,-8,38,-2,40,-2,33,-3,41,-2,37,-4,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,8,26,4,34,12,29,11,35,6,40,-2,42,4,38,-23,38,-9,49,3,44,19,55,-16,44,-12,49,-11,44,-3,34,-11,66,-25,66,7,62,-25,64,-38,65,-36,37,-49,55,-35,64,-45,75,-39,53,-45,57,-43,48,-38,59,-46,51,-46,55,-40,43,-33,43,-49,41,-43,45,-45,55,-38,54,-41,47,-37,54,-32,53,-42,51,-42,57,-39,50,-41,59,-34,54,-41,60,-38,57,-42,54,-43,64,-41,50,-27,53,-32,68,-35,60,-26,58,-33,59,-30,63,-29,56,0,0]",17:20:45.588
